Time (sec), PosCmd (X) (mm), PosCmd (Z) (mm), PosCmd (msShut_ext) (deg), PosFbk (X) (mm), PosFbk (Z) (mm), PosFbk (msShut_ext) (deg), PosErr (X) (mm), PosErr (Z) (mm), PosErr (msShut_ext) (deg), VelCmd (X) (mm/msec), VelCmd (Z) (mm/msec), VelCmd (msShut_ext) (deg/msec), VelFbk (X) (mm/msec), VelFbk (Z) (mm/msec), VelFbk (msShut_ext) (deg/msec), VelErr (X) (mm/msec), VelErr (Z) (mm/msec), VelErr (msShut_ext) (deg/msec), CurCmd (X), CurCmd (Z), CurCmd (msShut_ext), CurFbk (X), CurFbk (Z), CurFbk (msShut_ext), CurErr (X), CurErr (Z), CurErr (msShut_ext), Ain 1 (X), Program Counter (T01)
0.017, -0.061, -4.913954881162, 49.0050000000015, -0.061, -4.932, 49.0500000000015, 0, 0.0180451188379993, -0.0450000000000013, 0, 0.40548577293333, 0, 0, 0.407, 0.0450000000000013, 0, -0.0015142270666702, -0.0450000000000013, 0.0830645114183426, 0.558086276054382, -0.120237402617931, 0.10733026266098, 0.400288641452789, -0.0346166342496872, -0.0242657512426376, 0.157797634601593, -0.0856207683682442, 3.34481120109558, 2978
0.018, -0.061, -4.49927441106096, 49.0050000000015, -0.06, -4.518, 49.0500000000015, -0.001, 0.0187255889390435, -0.0450000000000013, 0, 0.414680470101044, 0, 0.001, 0.414, 0, -0.001, 0.000680470101044164, 0, 0.120454140007496, 0.810798346996307, -0.0202038511633873, 0.0897393971681595, 0.809222221374512, -0.0346166342496872, 0.0307147428393364, 0.00157612562179565, 0.0144127830862999, 3.34522485733032, 3082
0.019, -0.061, -4.07609956321609, 49.0050000000015, -0.059, -4.093, 49.0050000000015, -0.002, 0.0169004367839134, 0, 0, 0.42317484784487, 0, 0.001, 0.425, -0.0450000000000013, -0.001, -0.00182515215513011, 0.0450000000000013, 0.174898475408554, 0.562773942947388, 0.0820239782333374, 0.154856145381927, 0.69626921415329, -0.000142940873047337, 0.0200423300266266, -0.133495271205902, 0.0821669191063847, 3.3453106880188, 3082
0.02, -0.061, -3.64513065705128, 49.0050000000015, -0.058, -3.657, 49.0050000000015, -0.003, 0.0118693429487198, 0, 0, 0.430968906164806, 0, 0.001, 0.436, 0, -0.001, -0.00503109383519361, 0, 0.275011152029037, 0.152420073747635, -0.0185630861669779, 0.216799676418304, 0.216138139367104, -0.000142940873047337, 0.058211475610733, -0.0637180656194687, -0.0184201452939305, 3.34258794784546, 3082
0.021, -0.061, -3.20706801199043, 49.0050000000015, -0.057, -3.217, 49.0050000000015, -0.004, 0.00993198800957043, 0, 0, 0.438062645060851, 0, 0.001, 0.44, 0, -0.001, -0.00193735493914934, 0, 0.202667266130447, 0.304703772068024, -0.0154022583737969, 0.250417232513428, 0.22253206372261, -0.0113831786438823, -0.0477499663829803, 0.0821717083454132, -0.00401907972991467, 3.3437385559082, 3082
0.022, -0.061, -2.76261194745743, 49.0050000000015, -0.059, -2.773, 49.0050000000015, -0.002, 0.0103880525425748, 0, 0, 0.444456064533004, 0, -0.002, 0.444, 0, 0.002, 0.000456064533004363, 0, -0.0167021304368973, 0.490010619163513, -0.0152308139950037, 0.104033440351486, 0.508421778678894, -0.0233387611806393, -0.120735570788383, -0.0184111595153809, 0.00810794718563557, 3.34599471092224, 3082
0.023, -0.061, -2.31246278287615, 49.0050000000015, -0.06, -2.321, 49.0050000000015, -0.001, 0.00853721712384549, 0, 0, 0.450149164581271, 0, -0.001, 0.452, 0, 0.001, -0.00185083541872929, 0, -0.0375681556761265, 0.206267312169075, -0.0152317322790623, 0.0582598336040974, 0.357460618019104, -0.0233387611806393, -0.0958279892802238, -0.151193305850029, 0.008107028901577, 3.34654903411865, 3082
0.024, -0.061, -1.85732083767051, 49.0050000000015, -0.061, -1.865, 49.0050000000015, 0, 0.00767916232948983, 0, 0, 0.455141945205644, 0, -0.001, 0.456, 0, 0.001, -0.000858054794355645, 0, -0.0411793738603592, 0.235154062509537, -0.0152319492772222, 0.0469521880149841, 0.115799121558666, -0.0113831786438823, -0.0881315618753433, 0.119354940950871, -0.00384877063333988, 3.07712435722351, 3082
0.025, -0.061, -1.39788643126438, 49.0050000000015, -0.06, -1.411, 49.0500000000015, -0.001, 0.0131135687356154, -0.0450000000000013, 0, 0.459434406406126, 0, 0.001, 0.454, 0.0450000000000013, -0.001, 0.00543440640612564, -0.0450000000000013, 0.203038036823273, 0.78374969959259, -0.0879778265953064, 0.0461142510175705, 0.605644226074219, -0.0697108581662178, 0.156923785805702, 0.178105473518372, -0.0182669684290886, 0.918311476707459, 3082
0.026, -0.061, -0.934859883081662, 49.0050000000015, -0.06, -0.953, 49.0500000000015, -0.001, 0.0181401169183383, -0.0450000000000013, 0, 0.463026548182723, 0, 0, 0.458, 0, 0, 0.00502654818272288, 0, 0.11115474998951, 0.897898018360138, -0.0256633087992668, 0.0699058994650841, 0.945636391639709, -0.0346166342496872, 0.0412488505244255, -0.0477383732795715, 0.00895332545042038, -0.0623681843280792, 3082
