Time (sec), PosCmd (X) (mm), PosCmd (Z) (mm), PosCmd (msShut_ext) (deg), PosFbk (X) (mm), PosFbk (Z) (mm), PosFbk (msShut_ext) (deg), PosErr (X) (mm), PosErr (Z) (mm), PosErr (msShut_ext) (deg), VelCmd (X) (mm/msec), VelCmd (Z) (mm/msec), VelCmd (msShut_ext) (deg/msec), VelFbk (X) (mm/msec), VelFbk (Z) (mm/msec), VelFbk (msShut_ext) (deg/msec), VelErr (X) (mm/msec), VelErr (Z) (mm/msec), VelErr (msShut_ext) (deg/msec), CurCmd (X), CurCmd (Z), CurCmd (msShut_ext), CurFbk (X), CurFbk (Z), CurFbk (msShut_ext), CurErr (X), CurErr (Z), CurErr (msShut_ext), Ain 1 (X), Program Counter (T01)
0, -0.061, -10.0142702511378, 49.0050000000015, -0.06, -10.032, 49.0050000000015, -0.001, 0.0177297488622498, 0, 0, 0.1381157091937, 0, 0, 0.138, 0, 0, 0.000115709193700226, 0, 0.111092582345009, 1.30721354484558, -0.0130334887653589, 0.151979729533195, 1.47270774841309, -0.0113831786438823, -0.0408871471881866, -0.165494203567505, -0.00165031012147665, 0.00392165593802929, 2770
0.001, -0.061, -9.85484262689956, 49.0050000000015, -0.06, -9.87, 49.0050000000015, -0.001, 0.0151573731004355, 0, 0, 0.159427624238186, 0, 0, 0.162, 0, 0, -0.00257237576181433, 0, 0.0954569727182388, 0.939348578453064, -0.0130480108782649, 0.109628826379776, 0.921239376068115, -0.0113831786438823, -0.0141718536615372, 0.0181092023849487, -0.00166483223438263, 0.00362447206862271, 2770
0.002, -0.061, -9.67480721964605, 49.0050000000015, -0.06, -9.693, 49.0500000000015, -0.001, 0.0181927803539493, -0.0450000000000013, 0, 0.180035407253514, 0, 0, 0.177, 0.0450000000000013, 0, 0.00303540725351375, -0.0450000000000013, 0.0996394008398056, 1.3581326007843, -0.0218792296946049, 0.10124858468771, 1.18677842617035, -0.0697108581662178, -0.00160918384790421, 0.171354174613953, 0.0478316284716129, 0.00381986517459154, 2770
0.003, -0.061, -9.47486816140636, 49.0050000000015, -0.061, -9.497, 49.0050000000015, 0, 0.0221318385936356, 0, 0, 0.199939058239686, 0, -0.001, 0.196, -0.0450000000000013, 0.001, 0.00393905823968636, 0.0450000000000013, -0.0336311385035515, 1.59586536884308, 0.0824896693229675, 0.080146037042141, 1.67821407318115, -0.0113831786438823, -0.113777175545692, -0.0823487043380737, 0.0938728479668498, 0.00370268826372921, 2770
0.004, -0.061, -9.25572958420967, 49.0050000000015, -0.062, -9.275, 49.0050000000015, 0.001, 0.0192704157903336, 0, 0, 0.219138577196698, 0, -0.001, 0.222, 0, 0.001, -0.00286142280330206, 0, 0.0573748424649239, 1.05909657478333, -0.016967786476016, 0.0612806156277657, 1.28270506858826, -0.0113831786438823, -0.0039057731628418, -0.223608493804932, -0.00558460783213377, 0.00361542240716517, 2770
0.005, -0.061, -9.01809562008511, 49.0050000000015, -0.062, -9.032, 49.0050000000015, 0.001, 0.0139043799148858, 0, 0, 0.237633964124552, 0, 0, 0.243, 0, 0, -0.00536603587544779, 0, 0.0388023220002651, 0.695415794849396, -0.0137908468022943, 0.0512450523674488, 0.727038979530334, -0.0113831786438823, -0.0124427303671837, -0.0316231846809387, -0.00240766815841198, 0.00378896039910614, 2770
0.006, -0.061, -8.76267040106186, 49.0050000000015, -0.062, -8.775, 49.0050000000015, 0.001, 0.0123295989381368, 0, 0, 0.255425219023251, 0, 0, 0.257, 0, 0, -0.00157478097674903, 0, 0.0866664350032806, 0.981961846351624, -0.0136204762384295, 0.0543140657246113, 0.894695460796356, -0.0113831786438823, 0.0323523692786694, 0.0872663855552673, -0.00223729759454727, 0.00366760184988379, 2770
0.007, -0.061, -8.49015805916907, 49.0050000000015, -0.062, -8.5, 49.0050000000015, 0.001, 0.00984194083092916, 0, 0, 0.272512341892792, 0, 0, 0.275, 0, 0, -0.00248765810720762, 0, 0.0801684111356735, 0.767179608345032, -0.0136214308440685, 0.0614750981330872, 0.902263462543488, -0.000142940873047337, 0.0186933130025864, -0.135083854198456, -0.0134784899710212, 0.0038697945419699, 2770
0.008, -0.061, -8.2012627264359, 49.0050000000015, -0.062, -8.209, 49.0050000000015, 0.001, 0.00773727356410382, 0, 0, 0.288895332733175, 0, 0, 0.291, 0, 0, -0.00210466726682533, 0, 0.0802856385707855, 0.639627575874329, -0.013621648773551, 0.0678078755736351, 0.594804286956787, -0.0120985228568316, 0.0124777629971504, 0.0448232889175415, -0.00152312591671944, 0.00386027526110411, 2770
0.009, -0.061, -7.8966885348915, 49.0050000000015, -0.061, -7.907, 49.0050000000015, 0, 0.0103114651085025, 0, 0, 0.304574191544399, 0, 0.001, 0.302, 0, -0.001, 0.00257419154439867, 0, 0.188442170619965, 1.07750761508942, -0.0136216524988413, 0.0749677568674088, 0.844357550144196, -0.0120985228568316, 0.113474413752556, 0.233150064945221, -0.00152312964200974, 0.522413313388824, 2770
