Time (sec), PosCmd (X) (mm), PosCmd (Z) (mm), PosCmd (msShut_ext) (deg), PosFbk (X) (mm), PosFbk (Z) (mm), PosFbk (msShut_ext) (deg), PosErr (X) (mm), PosErr (Z) (mm), PosErr (msShut_ext) (deg), VelCmd (X) (mm/msec), VelCmd (Z) (mm/msec), VelCmd (msShut_ext) (deg/msec), VelFbk (X) (mm/msec), VelFbk (Z) (mm/msec), VelFbk (msShut_ext) (deg/msec), VelErr (X) (mm/msec), VelErr (Z) (mm/msec), VelErr (msShut_ext) (deg/msec), CurCmd (X), CurCmd (Z), CurCmd (msShut_ext), CurFbk (X), CurFbk (Z), CurFbk (msShut_ext), CurErr (X), CurErr (Z), CurErr (msShut_ext), Ain 1 (X), Program Counter (T01)
0.029, -0.061, 0.251243202565214, 49.0050000000015, -0.062, 0.251, 49.0050000000015, 0.001, 0.000243202565213835, 0, 0, 0.468997834614424, 0, 0, 0.474, 0, 0, -0.00500216538557573, 0, 0.0872083604335785, -0.123658329248428, -0.0156430453062058, 0.0553370714187622, 0.0366467349231243, -0.000142940873047337, 0.0318712890148163, -0.160305064171553, -0.0155001044331584, 0.2630215883255, 3082
0.03, -0.061, 0.721356089789609, 49.0050000000015, -0.062, 0.722, 49.0050000000015, 0.001, -0.0006439102103908, 0, 0, 0.470112887224395, 0, 0, 0.471, 0, 0, -0.000887112775604648, 0, 0.0797056555747986, 0.0505428425967693, -0.0156573485583067, 0.0626915469765663, 0.00880686938762665, -0.0233387611806393, 0.0170141085982323, 0.0417359732091427, 0.00768141262233257, -0.13952574133873, 3082
0.031, -0.061, 1.1918837101519, 49.0050000000015, -0.061, 1.19, 49.0050000000015, 0, 0.00188371015190455, 0, 0, 0.470527620362295, 0, 0.001, 0.468, 0, -0.001, 0.00252762036229536, 0, 0.176338940858841, 0.198876783251762, -0.0156575590372086, 0.102403581142426, 0.0391455441713333, -0.0113831786438823, 0.0739353597164154, 0.159731239080429, -0.00427438039332628, -0.0663252025842667, 3255
0.032, -0.061, 1.66212574418003, 49.0050000000015, -0.061, 1.658, 49.0050000000015, 0, 0.00412574418003101, 0, 0, 0.470242034028126, 0, 0, 0.468, 0, 0, 0.00224203402812645, 0, 0.0813129097223282, 0.178024917840958, -0.0156575441360474, 0.109568454325199, 0.139936298131943, -0.0233387611806393, -0.0282555446028709, 0.0380886197090149, 0.0076812170445919, -0.00123664876446128, 3255
0.033, -0.061, 2.13138187240193, 49.0050000000015, -0.061, 2.128, 49.0050000000015, 0, 0.00338187240192565, 0, 0, 0.469256128221895, 0, 0, 0.47, 0, 0, -0.000743871778105386, 0, 0.0885595381259918, 0.0432326644659042, -0.0156575441360474, 0.0921704694628716, 0.140137657523155, -0.0233387611806393, -0.00361093133687973, -0.096904993057251, 0.0076812170445919, 0.0101345358416438, 3255
0.034, -0.061, 2.59895177534551, 49.0050000000015, -0.061, 2.6, 49.0050000000015, 0, -0.00104822465448569, 0, 0, 0.467569902943589, 0, 0, 0.472, 0, 0, -0.00443009705641132, 0, 0.0887738317251205, -0.266967356204987, -0.0156575441360474, 0.0928102359175682, 0.0230515599250793, -0.0233387611806393, -0.00403640419244766, -0.290018916130066, 0.0076812170445919, 0.00603052135556936, 3255
0.035, -0.061, 3.06413513353873, 49.0050000000015, -0.06, 3.071, 49.0050000000015, -0.001, -0.00686486646127469, 0, 0, 0.465183358193211, 0, 0.001, 0.471, 0, -0.001, -0.00581664180678898, 0, 0.221685498952866, -0.568239510059357, -0.0156575441360474, 0.114305056631565, -0.140973955392838, -0.0113831786438823, 0.107380442321301, -0.427265554666519, -0.00427436549216509, 0.00396958366036415, 3255
0.036, -0.061, 3.5262316275095, 49.0050000000015, -0.06, 3.536, 49.0050000000015, -0.001, -0.00976837249050186, 0, 0, 0.462096493970773, 0, 0, 0.465, 0, 0, -0.00290350602922717, 0, 0.0949674844741821, -0.590877532958984, -0.0156575441360474, 0.14340478181839, -0.639001846313477, -0.0233387611806393, -0.0484372973442078, 0.0481243133544922, 0.0076812170445919, 0.00372077315114439, 3255
0.037, -0.061, 3.98454093778576, 49.0050000000015, -0.061, 3.99, 48.9600000000015, 0, -0.00545906221424229, 0.0450000000000013, 0, 0.45830931027626, 0, -0.001, 0.454, -0.0450000000000013, 0.001, 0.00430931027625955, 0.0450000000000013, -0.0361384898424149, -0.0864296406507492, 0.090112492442131, 0.0832155793905258, -0.279716372489929, -0.000168159196618944, -0.119354069232941, 0.19328673183918, 0.09028065163875, 0.00383152393624187, 3255
0.038, -0.061, 4.43836274489544, 49.0050000000015, -0.062, 4.441, 49.0050000000015, 0.001, -0.00263725510456152, 0, 0, 0.453821807109681, 0, -0.001, 0.451, 0.0450000000000013, 0.001, 0.00282180710968078, -0.0450000000000013, 0.0564750507473946, -0.14149221777916, -0.0554227121174335, 0.0668407827615738, -0.0793464183807373, -0.000168159196618944, -0.0103657320141792, -0.0621457993984222, -0.0552545529208146, 0.0040568015538156, 3255
