T_sync[ms], msShut_Enable, PumpA_Enable, N_Mode, N_Delay, Zpos, AIN_Volt, PCMD_Z, Tcorr_sum[us]
33840,0,1,10,10,0.995,1.151,0.826,-1
34109,0,1,10,10,1.006,1.550,0.907,6
34378,0,1,10,10,1.004,1.939,0.988,10
34647,0,1,10,10,0.997,2.288,1.066,6
34916,0,1,10,10,0.997,2.581,1.146,3
35185,0,1,10,10,1.001,2.841,1.228,5
35453,0,1,10,10,0.999,1.205,0.838,3
35722,0,1,10,10,1.004,1.619,0.919,8
35991,0,1,10,10,1.002,1.995,0.999,10
36260,0,1,10,10,0.997,2.333,1.078,7
36529,0,1,10,10,0.994,2.634,1.158,0
36798,0,1,10,10,1.006,2.870,1.241,6
37066,0,1,10,10,0.999,1.281,0.851,5
37335,0,1,10,10,1.005,1.673,0.931,10
37604,0,1,10,10,1.000,2.053,1.010,10
37873,0,1,10,10,0.995,2.386,1.090,4
38142,0,1,10,10,0.997,2.670,1.171,1
38411,0,1,10,10,1.006,2.910,1.254,7
38679,0,1,10,10,1.002,1.334,0.863,9
38948,0,1,10,10,1.002,1.743,0.942,11
39217,0,1,10,10,0.998,2.106,1.022,9
39486,0,1,10,10,0.994,2.436,1.102,3
39755,0,1,10,10,0.997,2.713,1.185,-1
40024,0,1,10,10,1.010,2.939,1.267,10
40292,0,1,10,10,1.001,1.410,0.876,11
40561,0,1,10,10,1.002,1.793,0.953,13
40830,0,1,10,10,0.995,2.169,1.033,8
41099,0,1,10,10,0.995,2.477,1.114,2
41368,0,1,10,10,0.998,2.752,1.198,0
41636,0,1,10,10,0.992,1.064,0.809,-8
41905,0,1,10,10,1.007,1.464,0.892,-1
42174,0,1,10,10,1.006,1.864,0.973,6
42443,0,1,10,10,1.002,2.207,1.050,8
42712,0,1,10,10,0.994,2.530,1.129,2
42981,0,1,10,10,0.999,2.790,1.210,1
43249,0,1,10,10,0.995,1.124,0.822,-4
43518,0,1,10,10,1.005,1.536,0.904,1
43787,0,1,10,10,1.007,1.911,0.984,9
44056,0,1,10,10,0.997,2.272,1.062,5
44325,0,1,10,10,0.996,2.568,1.141,1
44594,0,1,10,10,1.001,2.827,1.224,2
44862,0,1,10,10,0.997,1.190,0.834,-1
45131,0,1,10,10,1.006,1.591,0.915,5
45400,0,1,10,10,1.002,1.980,0.995,7
45669,0,1,10,10,0.998,2.314,1.074,5
45938,0,1,10,10,0.995,2.617,1.154,-1
46207,0,1,10,10,1.004,2.860,1.237,4
46475,0,1,10,10,0.999,1.256,0.847,2
46744,0,1,10,10,1.003,1.660,0.927,6
47013,0,1,10,10,1.002,2.030,1.007,8
47282,0,1,10,10,0.995,2.371,1.086,3
47551,0,1,10,10,0.997,2.653,1.167,-0
47820,0,1,10,10,1.004,2.900,1.250,4
48088,0,1,10,10,1.001,1.316,0.859,5
48357,0,1,10,10,1.003,1.719,0.938,8
48626,0,1,10,10,0.999,2.089,1.018,7
48895,0,1,10,10,0.995,2.415,1.098,2
49164,0,1,10,10,0.996,2.702,1.180,-3
49433,0,1,10,10,1.010,2.926,1.263,8
49701,0,1,10,10,1.001,1.386,0.871,8
49970,0,1,10,10,1.002,1.777,0.949,10
50239,0,1,10,10,0.997,2.144,1.029,7
50508,0,1,10,10,0.993,2.468,1.110,-1
50777,0,1,10,10,0.999,2.733,1.193,-1
51045,0,1,10,10,0.990,1.044,0.805,-11
51314,0,1,10,10,1.008,1.440,0.888,-3
51583,0,1,10,10,1.007,1.843,0.969,4
51852,0,1,10,10,1.000,2.198,1.046,4
52121,0,1,10,10,0.996,2.509,1.125,0
52390,0,1,10,10,0.998,2.780,1.206,-1
52658,0,1,10,10,0.995,1.096,0.817,-7
52927,0,1,10,10,1.005,1.515,0.900,-1
53196,0,1,10,10,1.007,1.894,0.980,6
53465,0,1,10,10,0.999,2.250,1.058,4
53734,0,1,10,10,0.994,2.558,1.137,-2
54003,0,1,10,10,1.002,2.812,1.219,-0
54271,0,1,10,10,0.996,1.173,0.830,-5
54540,0,1,10,10,1.007,1.566,0.911,3
54809,0,1,10,10,1.003,1.960,0.991,6
55078,0,1,10,10,0.997,2.300,1.069,3
55347,0,1,10,10,0.995,2.601,1.150,-3
55616,0,1,10,10,1.002,2.853,1.232,-0
55884,0,1,10,10,1.000,1.228,0.843,-1
56153,0,1,10,10,1.004,1.641,0.923,3
56422,0,1,10,10,1.003,2.007,1.003,7
56691,0,1,10,10,0.995,2.356,1.082,1
56960,0,1,10,10,0.996,2.642,1.163,-3
57229,0,1,10,10,1.005,2.887,1.245,2
57497,0,1,10,10,1.000,1.300,0.855,1
57766,0,1,10,10,1.005,1.692,0.935,6
58035,0,1,10,10,0.999,2.075,1.014,5
58304,0,1,10,10,0.997,2.395,1.094,1
58573,0,1,10,10,0.996,2.687,1.176,-3
58842,0,1,10,10,1.007,2.919,1.258,4
59110,0,1,10,10,1.001,1.360,0.867,5
59379,0,1,10,10,1.001,1.763,0.946,6
59648,0,1,10,10,1.000,2.118,1.026,6
59917,0,1,10,10,0.993,2.454,1.106,-2
60186,0,1,10,10,0.998,2.722,1.188,-4
60455,0,1,10,10,1.010,2.952,1.271,7
60723,0,1,10,10,1.001,1.427,0.879,8
60992,0,1,10,10,1.001,1.815,0.957,9
61261,0,1,10,10,0.995,2.184,1.037,3
61530,0,1,10,10,0.995,2.491,1.119,-2
61799,0,1,10,10,0.998,2.766,1.202,-4
62067,0,1,10,10,0.994,1.078,0.813,-11
62336,0,1,10,10,1.006,1.489,0.896,-4
62605,0,1,10,10,1.006,1.881,0.977,2
62874,0,1,10,10,1.000,2.230,1.054,2
63143,0,1,10,10,0.994,2.546,1.133,-4
63412,0,1,10,10,1.002,2.798,1.215,-2
63680,0,1,10,10,0.995,1.151,0.826,-8
63949,0,1,10,10,1.006,1.551,0.907,-1
64218,0,1,10,10,1.004,1.937,0.988,3
64487,0,1,10,10,0.997,2.286,1.066,0
64756,0,1,10,10,0.996,2.583,1.146,-4
65025,0,1,10,10,1.001,2.841,1.228,-2
65293,0,1,10,10,0.999,1.204,0.838,-3
65562,0,1,10,10,1.004,1.619,0.919,1
65831,0,1,10,10,1.003,1.993,0.999,4
66100,0,1,10,10,0.996,2.335,1.078,-0
66369,0,1,10,10,0.994,2.633,1.158,-6
66638,0,1,10,10,1.005,2.871,1.241,-1
66906,0,1,10,10,0.999,1.281,0.851,-2
67175,0,1,10,10,1.006,1.670,0.931,4
67444,0,1,10,10,1.000,2.054,1.010,4
67713,0,1,10,10,0.994,2.388,1.089,-3
67982,0,1,10,10,0.997,2.669,1.172,-6
68251,0,1,10,10,1.006,2.910,1.254,0
68519,0,1,10,10,1.002,1.333,0.864,3
68788,0,1,10,10,1.001,1.743,0.942,4
69057,0,1,10,10,0.999,2.104,1.022,3
69326,0,1,10,10,0.994,2.433,1.102,-3
69595,0,1,10,10,0.996,2.714,1.184,-7
69864,0,1,10,10,1.010,2.938,1.267,4
70132,0,1,10,10,1.000,1.410,0.875,4
70401,0,1,10,10,1.002,1.794,0.953,6
70670,0,1,10,10,0.996,2.163,1.033,2
70939,0,1,10,10,0.994,2.480,1.114,-5
71208,0,1,10,10,0.998,2.752,1.197,-7
71476,0,1,10,10,0.992,1.064,0.809,-15
71745,0,1,10,10,1.008,1.463,0.892,-7
72014,0,1,10,10,1.007,1.864,0.973,-0
72283,0,1,10,10,1.001,2.210,1.050,1
72552,0,1,10,10,0.994,2.530,1.129,-5
72821,0,1,10,10,1.000,2.789,1.210,-5
73089,0,1,10,10,0.995,1.124,0.822,-11
73358,0,1,10,10,1.005,1.535,0.904,-5
73627,0,1,10,10,1.007,1.913,0.984,2
73896,0,1,10,10,0.997,2.272,1.062,-2
74165,0,1,10,10,0.996,2.567,1.141,-6
74434,0,1,10,10,1.001,2.828,1.224,-4
74702,0,1,10,10,0.997,1.191,0.834,-8
74971,0,1,10,10,1.006,1.593,0.915,-2
75240,0,1,10,10,1.002,1.981,0.995,0
75509,0,1,10,10,0.999,2.312,1.074,-1
75778,0,1,10,10,0.994,2.619,1.154,-7
76047,0,1,10,10,1.003,2.862,1.236,-4
